m,alphabet_bits,V,Y,q,expected_domain_size,expected_printed_rhs_bits
1,1,2,2,1,2,0
2,1,2,2,2,4,0
3,1,2,2,3,8,0
4,1,2,2,4,16,0
5,1,2,2,5,32,0
6,1,2,2,6,64,0
1,2,4,2,2,4,0
2,2,4,2,4,16,0
3,2,4,2,6,64,0
4,2,4,2,8,256,0
5,2,4,2,10,1024,0
6,2,4,2,12,4096,0
1,3,8,2,3,8,0
2,3,8,2,6,64,0
3,3,8,2,9,512,0
4,3,8,2,12,4096,0
