length,dependency_range,windows,total_window
8,3,1+1,2
9,4,0+1+2,3
12,5,2+2,4
17,8,2+2+3,7
24,10,1+3+2+3,9
32,16,5+5+5,15
50,20,0+4+0+7+8,19
65,32,10+10+11,31
